periodo;Año;Municipio;Tipo;Valor;;;;;;;;;
1/1/2020;2020;Almirante Brown;Total de hechos de robos;5477;;;;;;;;;
1/1/2021;2021;Almirante Brown;Total de hechos de hurtos;2517;;;;;;;;;
1/1/2021;2021;Almirante Brown;Total de hechos de robos;4769;;;;;;;;;
1/1/2014;2014;Arrecifes;Total de hechos de hurtos;319;;;;;;;;;
1/1/2014;2014;Arrecifes;Total de hechos de robos;303;;;;;;;;;
1/1/2015;2015;Arrecifes;Total de hechos de hurtos;191;;;;;;;;;
1/1/2015;2015;Arrecifes;Total de hechos de robos;153;;;;;;;;;
1/1/2016;2016;Arrecifes;Total de hechos de hurtos;195;;;;;;;;;
1/1/2016;2016;Arrecifes;Total de hechos de robos;195;;;;;;;;;
1/1/2017;2017;Arrecifes;Total de hechos de hurtos;236;;;;;;;;;
1/1/2017;2017;Arrecifes;Total de hechos de robos;184;;;;;;;;;
1/1/2018;2018;Arrecifes;Total de hechos de hurtos;163;;;;;;;;;
1/1/2018;2018;Arrecifes;Total de hechos de robos;100;;;;;;;;;
1/1/2019;2019;Arrecifes;Total de hechos de hurtos;100;;;;;;;;;
1/1/2019;2019;Arrecifes;Total de hechos de robos;61;;;;;;;;;
1/1/2020;2020;Arrecifes;Total de hechos de hurtos;110;;;;;;;;;
1/1/2020;2020;Arrecifes;Total de hechos de robos;50;;;;;;;;;
1/1/2021;2021;Arrecifes;Total de hechos de hurtos;80;;;;;;;;;
1/1/2021;2021;Arrecifes;Total de hechos de robos;35;;;;;;;;;
1/1/2014;2014;Avellaneda;Total de hechos de hurtos;869;;;;;;;;;
1/1/2014;2014;Avellaneda;Total de hechos de robos;1671;;;;;;;;;
1/1/2015;2015;Avellaneda;Total de hechos de hurtos;900;;;;;;;;;
1/1/2015;2015;Avellaneda;Total de hechos de robos;1963;;;;;;;;;
1/1/2016;2016;Avellaneda;Total de hechos de hurtos;1387;;;;;;;;;
1/1/2016;2016;Avellaneda;Total de hechos de robos;2895;;;;;;;;;
1/1/2017;2017;Avellaneda;Total de hechos de hurtos;1397;;;;;;;;;
1/1/2017;2017;Avellaneda;Total de hechos de robos;3156;;;;;;;;;
1/1/2018;2018;Avellaneda;Total de hechos de hurtos;1852;;;;;;;;;
1/1/2018;2018;Avellaneda;Total de hechos de robos;3957;;;;;;;;;
1/1/2019;2019;Avellaneda;Total de hechos de hurtos;2048;;;;;;;;;
1/1/2019;2019;Avellaneda;Total de hechos de robos;5045;;;;;;;;;
1/1/2020;2020;Avellaneda;Total de hechos de hurtos;1340;;;;;;;;;
1/1/2020;2020;Avellaneda;Total de hechos de robos;3440;;;;;;;;;
1/1/2021;2021;Avellaneda;Total de hechos de hurtos;1835;;;;;;;;;
1/1/2021;2021;Avellaneda;Total de hechos de robos;4191;;;;;;;;;
1/1/2014;2014;Ayacucho;Total de hechos de hurtos;58;;;;;;;;;
1/1/2014;2014;Ayacucho;Total de hechos de robos;39;;;;;;;;;
1/1/2015;2015;Ayacucho;Total de hechos de hurtos;22;;;;;;;;;
1/1/2015;2015;Ayacucho;Total de hechos de robos;14;;;;;;;;;
1/1/2016;2016;Ayacucho;Total de hechos de hurtos;33;;;;;;;;;
1/1/2016;2016;Ayacucho;Total de hechos de robos;24;;;;;;;;;
1/1/2017;2017;Ayacucho;Total de hechos de hurtos;43;;;;;;;;;
1/1/2017;2017;Ayacucho;Total de hechos de robos;20;;;;;;;;;
1/1/2018;2018;Ayacucho;Total de hechos de hurtos;44;;;;;;;;;
1/1/2018;2018;Ayacucho;Total de hechos de robos;17;;;;;;;;;
1/1/2019;2019;Ayacucho;Total de hechos de hurtos;125;;;;;;;;;
1/1/2019;2019;Ayacucho;Total de hechos de robos;41;;;;;;;;;
1/1/2020;2020;Ayacucho;Total de hechos de hurtos;85;;;;;;;;;
1/1/2020;2020;Ayacucho;Total de hechos de robos;20;;;;;;;;;
1/1/2021;2021;Ayacucho;Total de hechos de hurtos;56;;;;;;;;;
1/1/2021;2021;Ayacucho;Total de hechos de robos;21;;;;;;;;;
1/1/2014;2014;Azul;Total de hechos de hurtos;339;;;;;;;;;
1/1/2014;2014;Azul;Total de hechos de robos;220;;;;;;;;;
1/1/2015;2015;Azul;Total de hechos de hurtos;270;;;;;;;;;
1/1/2015;2015;Azul;Total de hechos de robos;137;;;;;;;;;
1/1/2016;2016;Azul;Total de hechos de hurtos;235;;;;;;;;;
1/1/2016;2016;Azul;Total de hechos de robos;148;;;;;;;;;
1/1/2017;2017;Azul;Total de hechos de hurtos;143;;;;;;;;;
1/1/2017;2017;Azul;Total de hechos de robos;87;;;;;;;;;
1/1/2018;2018;Azul;Total de hechos de hurtos;157;;;;;;;;;
1/1/2018;2018;Azul;Total de hechos de robos;76;;;;;;;;;
1/1/2019;2019;Azul;Total de hechos de hurtos;279;;;;;;;;;
1/1/2019;2019;Azul;Total de hechos de robos;222;;;;;;;;;
1/1/2020;2020;Azul;Total de hechos de hurtos;253;;;;;;;;;
1/1/2020;2020;Azul;Total de hechos de robos;174;;;;;;;;;
1/1/2021;2021;Azul;Total de hechos de hurtos;236;;;;;;;;;
1/1/2021;2021;Azul;Total de hechos de robos;176;;;;;;;;;
1/1/2014;2014;Bahía Blanca;Total de hechos de hurtos;889;;;;;;;;;
1/1/2014;2014;Bahía Blanca;Total de hechos de robos;1107;;;;;;;;;
1/1/2015;2015;Bahía Blanca;Total de hechos de hurtos;806;;;;;;;;;
1/1/2015;2015;Bahía Blanca;Total de hechos de robos;886;;;;;;;;;
1/1/2016;2016;Bahía Blanca;Total de hechos de hurtos;801;;;;;;;;;
1/1/2016;2016;Bahía Blanca;Total de hechos de robos;893;;;;;;;;;
1/1/2017;2017;Bahía Blanca;Total de hechos de hurtos;850;;;;;;;;;
1/1/2017;2017;Bahía Blanca;Total de hechos de robos;741;;;;;;;;;
1/1/2018;2018;Bahía Blanca;Total de hechos de hurtos;876;;;;;;;;;
1/1/2018;2018;Bahía Blanca;Total de hechos de robos;742;;;;;;;;;
1/1/2019;2019;Bahía Blanca;Total de hechos de hurtos;1984;;;;;;;;;
1/1/2019;2019;Bahía Blanca;Total de hechos de robos;1451;;;;;;;;;
1/1/2020;2020;Bahía Blanca;Total de hechos de hurtos;1525;;;;;;;;;
1/1/2020;2020;Bahía Blanca;Total de hechos de robos;1043;;;;;;;;;
1/1/2021;2021;Bahía Blanca;Total de hechos de hurtos;1555;;;;;;;;;
1/1/2021;2021;Bahía Blanca;Total de hechos de robos;990;;;;;;;;;
1/1/2014;2014;Balcarce;Total de hechos de hurtos;29;;;;;;;;;
1/1/2014;2014;Balcarce;Total de hechos de robos;28;;;;;;;;;
1/1/2015;2015;Balcarce;Total de hechos de hurtos;79;;;;;;;;;
1/1/2015;2015;Balcarce;Total de hechos de robos;114;;;;;;;;;
1/1/2016;2016;Balcarce;Total de hechos de hurtos;67;;;;;;;;;
1/1/2016;2016;Balcarce;Total de hechos de robos;85;;;;;;;;;
1/1/2017;2017;Balcarce;Total de hechos de hurtos;38;;;;;;;;;
1/1/2017;2017;Balcarce;Total de hechos de robos;47;;;;;;;;;
1/1/2018;2018;Balcarce;Total de hechos de hurtos;25;;;;;;;;;
1/1/2018;2018;Balcarce;Total de hechos de robos;52;;;;;;;;;
1/1/2019;2019;Balcarce;Total de hechos de hurtos;87;;;;;;;;;
1/1/2019;2019;Balcarce;Total de hechos de robos;89;;;;;;;;;
1/1/2020;2020;Balcarce;Total de hechos de hurtos;66;;;;;;;;;
1/1/2020;2020;Balcarce;Total de hechos de robos;30;;;;;;;;;
1/1/2021;2021;Balcarce;Total de hechos de hurtos;195;;;;;;;;;
1/1/2021;2021;Balcarce;Total de hechos de robos;125;;;;;;;;;
1/1/2014;2014;Baradero;Total de hechos de hurtos;48;;;;;;;;;
1/1/2014;2014;Baradero;Total de hechos de robos;38;;;;;;;;;
1/1/2015;2015;Baradero;Total de hechos de hurtos;21;;;;;;;;;
1/1/2015;2015;Baradero;Total de hechos de robos;25;;;;;;;;;
1/1/2016;2016;Baradero;Total de hechos de hurtos;48;;;;;;;;;
1/1/2016;2016;Baradero;Total de hechos de robos;54;;;;;;;;;
1/1/2017;2017;Baradero;Total de hechos de hurtos;30;;;;;;;;;
1/1/2017;2017;Baradero;Total de hechos de robos;37;;;;;;;;;
1/1/2018;2018;Baradero;Total de hechos de hurtos;157;;;;;;;;;
1/1/2018;2018;Baradero;Total de hechos de robos;117;;;;;;;;;
1/1/2019;2019;Baradero;Total de hechos de hurtos;308;;;;;;;;;
1/1/2019;2019;Baradero;Total de hechos de robos;196;;;;;;;;;
1/1/2020;2020;Baradero;Total de hechos de hurtos;83;;;;;;;;;
1/1/2020;2020;Baradero;Total de hechos de robos;31;;;;;;;;;
1/1/2021;2021;Baradero;Total de hechos de hurtos;102;;;;;;;;;
1/1/2021;2021;Baradero;Total de hechos de robos;28;;;;;;;;;
1/1/2014;2014;Benito Juárez;Total de hechos de hurtos;58;;;;;;;;;
1/1/2014;2014;Benito Juárez;Total de hechos de robos;29;;;;;;;;;
1/1/2015;2015;Benito Juárez;Total de hechos de hurtos;44;;;;;;;;;
1/1/2015;2015;Benito Juárez;Total de hechos de robos;18;;;;;;;;;
1/1/2016;2016;Benito Juárez;Total de hechos de hurtos;38;;;;;;;;;
1/1/2016;2016;Benito Juárez;Total de hechos de robos;24;;;;;;;;;
1/1/2017;2017;Benito Juárez;Total de hechos de hurtos;42;;;;;;;;;
1/1/2017;2017;Benito Juárez;Total de hechos de robos;22;;;;;;;;;
1/1/2018;2018;Benito Juárez;Total de hechos de hurtos;60;;;;;;;;;
1/1/2018;2018;Benito Juárez;Total de hechos de robos;26;;;;;;;;;
1/1/2019;2019;Benito Juárez;Total de hechos de hurtos;121;;;;;;;;;
1/1/2019;2019;Benito Juárez;Total de hechos de robos;55;;;;;;;;;
1/1/2020;2020;Benito Juárez;Total de hechos de hurtos;80;;;;;;;;;
1/1/2020;2020;Benito Juárez;Total de hechos de robos;25;;;;;;;;;
1/1/2021;2021;Benito Juárez;Total de hechos de hurtos;51;;;;;;;;;
1/1/2021;2021;Benito Juárez;Total de hechos de robos;18;;;;;;;;;
1/1/2014;2014;Berazategui;Total de hechos de hurtos;712;;;;;;;;;
1/1/2014;2014;Berazategui;Total de hechos de robos;1558;;;;;;;;;
1/1/2015;2015;Berazategui;Total de hechos de hurtos;635;;;;;;;;;
1/1/2015;2015;Berazategui;Total de hechos de robos;1099;;;;;;;;;
1/1/2016;2016;Berazategui;Total de hechos de hurtos;564;;;;;;;;;
1/1/2016;2016;Berazategui;Total de hechos de robos;739;;;;;;;;;
1/1/2017;2017;Berazategui;Total de hechos de hurtos;552;;;;;;;;;
1/1/2017;2017;Berazategui;Total de hechos de robos;1043;;;;;;;;;
1/1/2018;2018;Berazategui;Total de hechos de hurtos;905;;;;;;;;;
1/1/2018;2018;Berazategui;Total de hechos de robos;1739;;;;;;;;;
1/1/2019;2019;Berazategui;Total de hechos de hurtos;1251;;;;;;;;;
1/1/2019;2019;Berazategui;Total de hechos de robos;2505;;;;;;;;;
1/1/2020;2020;Berazategui;Total de hechos de hurtos;968;;;;;;;;;
